PrénomMajoritaire;PrénomMinoritaire
adrienne;adrien
alberte;albert
albertine;albert
alexandra;alexandre
aloïse;aloïs
antoinette;antoine
aurélie;aurélien
aurélie;aurèle
bérangère;béranger
bernadette;bernard
charline;charles
christiane;christian
claude;claudette
claude;claudie
claude;claudine
claude;claudy
clémence;clément
corentine;corentin
denise;denis
doriane;dorian
dorothée;théodore
edwige;edwig
éliette;élie
éric;érica
éric;érika
ernestine;ernest
fernande;fernand
fleur;fleury
florence;florent
ghislaine;ghislain
guilhemine;guilhem
guillemette;guillaume
gwenvaëlla;gwenvaël
henriette;henri
herveline;hervé
huguette;hugues
jacqueline;jacques
jéromine;jérôme
jocelyne;jocelyn
jeanne;jean
joséphine;joseph
louise;louis
martine;martin
mauricette;maurice
moïsette;moïse
nicolas;nicole
nicolas;nicolette
pascaline;pascal
patricia;patrice
pauline;paulin
paul;paula
paul;paulette
paul;paulia
raymonde;raymond
simone;simon
stéphanie;stéphane
sylvaine;sylvain
théodora;théodore
valentine;valentin
yvette;yves